database,id,speaker,emotion,transcription,sentence_path,duration
EmoV-DB,disgusted_141-168_0168,bea,disgusted,Low bush whipped him in the face and left no sting.,/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_141-168_0168.wav,7.145034013605442
EmoV-DB,disgusted_169-196_0174,bea,disgusted,They were the presage of storm.,/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_169-196_0174.wav,4.889569160997731
EmoV-DB,disgusted_281-308_0296,bea,disgusted,Bassett was a fastidious man.,/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_281-308_0296.wav,3.747981859410432
EmoV-DB,disgusted_113-140_0120,bea,disgusted,My right foot feels like that of a Chinese debutante.,/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_113-140_0120.wav,6.1388208616780044
EmoV-DB,disgusted_169-196_0192,bea,disgusted,He did not rush in.,/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_169-196_0192.wav,3.203718820861678
EmoV-DB,disgusted_57-84_0081,bea,disgusted,What if she did not come to the rock.,/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_57-84_0081.wav,4.67968253968254
EmoV-DB,disgusted_225-252_0240,bea,disgusted,Wash your hands of me.,/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_225-252_0240.wav,2.5805442176870748
EmoV-DB,disgusted_197-224_0213,bea,disgusted,Between him and the beach was the cane-grass fence of the compound.,/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_197-224_0213.wav,6.716371882086168
EmoV-DB,disgusted_309-336_0332,bea,disgusted,"Unconsciously, our yells and exclamations yielded to this rhythm.",/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_309-336_0332.wav,7.0212698412698415
EmoV-DB,disgusted_197-224_0197,bea,disgusted,"Such a dog the wise driver kills, or turns loose.",/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_197-224_0197.wav,6.6971428571428575
EmoV-DB,disgusted_57-84_0077,bea,disgusted,"It is the fire, partly, she said.",/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_57-84_0077.wav,4.5173696145124715
EmoV-DB,disgusted_1-28_0023,bea,disgusted,A combination of Canadian capital quickly organized and petitioned for the same privileges.,/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_1-28_0023.wav,8.081133786848072
EmoV-DB,disgusted_1-28_0027,bea,disgusted,To my surprise he began to show actual enthusiasm in my favor.,/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_1-28_0027.wav,7.272018140589568
EmoV-DB,disgusted_197-224_0212,bea,disgusted,"Fresh cases, still able to walk, they clustered about the spokesman.",/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_197-224_0212.wav,7.9970521541950115
EmoV-DB,disgusted_281-308_0303,bea,disgusted,But they make the mistake of ignoring their own duality.,/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_281-308_0303.wav,5.650249433106576
EmoV-DB,disgusted_113-140_0129,bea,disgusted,Her face was against his breast.,/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_113-140_0129.wav,3.9600907029478463
EmoV-DB,disgusted_281-308_0307,bea,disgusted,"Very early in my life, I separated from my mother.",/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_281-308_0307.wav,5.419909297052153
EmoV-DB,disgusted_57-84_0067,bea,disgusted,"Surely I will excuse you, she cried.",/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_57-84_0067.wav,4.894920634920634
EmoV-DB,disgusted_197-224_0218,bea,disgusted,The ringing of the big bell aroused him.,/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_197-224_0218.wav,3.072063492063492
EmoV-DB,disgusted_113-140_0135,bea,disgusted,"I am going to surprise father, and you will go with Pierre.",/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_113-140_0135.wav,5.745578231292517
EmoV-DB,disgusted_113-140_0121,bea,disgusted,"They ate dinner at the fifth, and rested for two hours.",/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_113-140_0121.wav,7.225442176870747
EmoV-DB,disgusted_169-196_0169,bea,disgusted,Suddenly Jeanne stopped for an instant.,/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_169-196_0169.wav,5.574739229024943
EmoV-DB,disgusted_169-196_0176,bea,disgusted,For the first time in his life he was yearning for a scrap.,/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_169-196_0176.wav,6.6356009070294775
EmoV-DB,disgusted_169-196_0182,bea,disgusted,This time he did not yap for mercy.,/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_169-196_0182.wav,6.266122448979592
EmoV-DB,disgusted_253-280_0272,bea,disgusted,You can take a vacation on pay.,/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_253-280_0272.wav,3.767165532879819
EmoV-DB,disgusted_169-196_0181,bea,disgusted,"So cheer up, and give us your paw.",/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_169-196_0181.wav,5.104580498866215
EmoV-DB,disgusted_281-308_0304,bea,disgusted,I graduated last of my class.,/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_281-308_0304.wav,3.563628117913832
EmoV-DB,disgusted_113-140_0136,bea,disgusted,"About him, everywhere, were the evidences of luxury and of age.",/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_113-140_0136.wav,7.400725623582766
EmoV-DB,disgusted_1-28_0015,bea,disgusted,It's the aurora borealis.,/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_1-28_0015.wav,3.5250340136054423
EmoV-DB,disgusted_141-168_0147,bea,disgusted,A moment before he was intoxicated by a joy that was almost madness.,/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_141-168_0147.wav,8.19310657596372
EmoV-DB,disgusted_29-56_0038,bea,disgusted,We'll have to watch our chances.,/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_29-56_0038.wav,3.3054875283446714
EmoV-DB,disgusted_197-224_0224,bea,disgusted,"She nodded, and her eyes grew soft and moist.",/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_197-224_0224.wav,4.54671201814059
EmoV-DB,disgusted_197-224_0210,bea,disgusted,Its diameter was not more than two hundred yards.,/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_197-224_0210.wav,5.468299319727891
EmoV-DB,disgusted_141-168_0151,bea,disgusted,"And MacDougall was beyond the trail, with three weeks to spare.",/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_141-168_0151.wav,7.250430839002267
EmoV-DB,disgusted_225-252_0243,bea,disgusted,I only read the quotations.,/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_225-252_0243.wav,3.133514739229025
EmoV-DB,disgusted_197-224_0208,bea,disgusted,"Youth had come back to her, freed from the yoke of oppression.",/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_197-224_0208.wav,5.935827664399092
EmoV-DB,disgusted_57-84_0065,bea,disgusted,They closed now until his fingers were like cords of steel.,/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_57-84_0065.wav,5.881224489795918
EmoV-DB,disgusted_309-336_0310,bea,disgusted,"Massage under tension, was the cryptic reply.",/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_309-336_0310.wav,4.948299319727892
EmoV-DB,disgusted_85-112_0106,bea,disgusted,The emotion which she had suppressed burst forth now in a choking sob.,/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_85-112_0106.wav,8.39233560090703
EmoV-DB,disgusted_169-196_0193,bea,disgusted,It was edged with ice.,/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_169-196_0193.wav,4.097097505668933
EmoV-DB,disgusted_197-224_0205,bea,disgusted,From now on we're pals.,/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_197-224_0205.wav,3.4407256235827663
EmoV-DB,disgusted_29-56_0037,bea,disgusted,I was the only one who remained sitting.,/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_29-56_0037.wav,3.906485260770976
EmoV-DB,disgusted_309-336_0311,bea,disgusted,"Therefore, hurrah for the game.",/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_309-336_0311.wav,3.477233560090703
EmoV-DB,disgusted_1-28_0011,bea,disgusted,If I ever needed a fighter in my life I need one now.,/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_1-28_0011.wav,6.3978684807256245
EmoV-DB,disgusted_1-28_0025,bea,disgusted,I was about to do this when cooler judgment prevailed.,/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_1-28_0025.wav,5.879319727891157
EmoV-DB,disgusted_57-84_0082,bea,disgusted,His face was streaming with blood.,/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_57-84_0082.wav,3.920816326530612
EmoV-DB,disgusted_141-168_0154,bea,disgusted,"He was smooth-shaven, and his hair and eyes were black.",/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_141-168_0154.wav,6.727755102040818
EmoV-DB,disgusted_197-224_0206,bea,disgusted,He says he bought him of Jacques Le Beau.,/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_197-224_0206.wav,4.792471655328797
EmoV-DB,disgusted_1-28_0013,bea,disgusted,"He was a head shorter than his companion, of almost delicate physique.",/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_1-28_0013.wav,7.110612244897959
EmoV-DB,disgusted_57-84_0063,bea,disgusted,"Yes, it was a man who asked, a stranger.",/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_57-84_0063.wav,5.307346938775512
EmoV-DB,disgusted_225-252_0232,bea,disgusted,"I cannot follow you, she said.",/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_225-252_0232.wav,3.7393650793650792
EmoV-DB,disgusted_85-112_0095,bea,disgusted,A big canvas tent was the first thing to come within his vision.,/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_85-112_0095.wav,6.2202267573696135
EmoV-DB,disgusted_1-28_0018,bea,disgusted,There was a change now.,/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_1-28_0018.wav,3.966575963718821
EmoV-DB,disgusted_57-84_0073,bea,disgusted,"The promoter's eyes were heavy, with little puffy bags under them.",/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_57-84_0073.wav,6.6400907029478455
EmoV-DB,disgusted_253-280_0278,bea,disgusted,It would give me nervous prostration.,/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_253-280_0278.wav,3.4235827664399086
EmoV-DB,disgusted_57-84_0061,bea,disgusted,Philip snatched at the letter which Gregson held out to him.,/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_57-84_0061.wav,5.835102040816326
EmoV-DB,disgusted_309-336_0333,bea,disgusted,This is no place for you.,/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_309-336_0333.wav,3.1046258503401365
EmoV-DB,disgusted_197-224_0198,bea,disgusted,Sometimes her dreams were filled with visions.,/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_197-224_0198.wav,4.669569160997733
EmoV-DB,disgusted_197-224_0209,bea,disgusted,"It was not a large lake, and almost round.",/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_197-224_0209.wav,5.038231292517007
EmoV-DB,disgusted_29-56_0045,bea,disgusted,He moved away as quietly as he had come.,/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_29-56_0045.wav,3.884081632653061
EmoV-DB,disgusted_85-112_0099,bea,disgusted,A maddening joy pounded in his brain.,/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_85-112_0099.wav,5.196462585034014
EmoV-DB,disgusted_113-140_0114,bea,disgusted,Her words sent a strange chill through Philip.,/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_113-140_0114.wav,5.002222222222223
EmoV-DB,disgusted_169-196_0179,bea,disgusted,"Tomorrow I'm going after that bear, he said.",/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_169-196_0179.wav,5.265487528344671
EmoV-DB,disgusted_197-224_0214,bea,disgusted,"Besides, he was paid one case of tobacco per head.",/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_197-224_0214.wav,5.591201814058957
EmoV-DB,disgusted_225-252_0246,bea,disgusted,You have heard always how he was the lover of the Princess Naomi.,/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_225-252_0246.wav,7.169795918367348
EmoV-DB,disgusted_253-280_0273,bea,disgusted,They are big trees and require plenty of room.,/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_253-280_0273.wav,4.9767800453514734
EmoV-DB,disgusted_85-112_0092,bea,disgusted,"He went down in midstream, searching the shadows of both shores.",/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_85-112_0092.wav,7.093650793650792
EmoV-DB,disgusted_57-84_0060,bea,disgusted,"Anyway, no one saw her like that.",/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_57-84_0060.wav,4.868072562358277
EmoV-DB,disgusted_169-196_0180,bea,disgusted,"If not, let's say our prayers and go to bed.",/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_169-196_0180.wav,4.835918367346938
EmoV-DB,disgusted_225-252_0241,bea,disgusted,I think it's much nicer to quarrel.,/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_225-252_0241.wav,2.826349206349206
EmoV-DB,disgusted_113-140_0125,bea,disgusted,He was determined now to maintain a more certain hold upon himself.,/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_113-140_0125.wav,8.057324263038549
EmoV-DB,disgusted_113-140_0134,bea,disgusted,He obeyed the pressure of her hand.,/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_113-140_0134.wav,3.890612244897959
EmoV-DB,disgusted_309-336_0329,bea,disgusted,"Ah, indeed.",/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_309-336_0329.wav,2.808526077097506
EmoV-DB,disgusted_29-56_0042,bea,disgusted,How could he explain his possession of the sketch.,/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_29-56_0042.wav,4.612743764172334
EmoV-DB,disgusted_281-308_0300,bea,disgusted,From my earliest recollection my sleep was a period of terror.,/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_281-308_0300.wav,5.182040816326532
EmoV-DB,disgusted_225-252_0252,bea,disgusted,O'Brien had been a clean living young man with ideals.,/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_225-252_0252.wav,4.9767800453514734
EmoV-DB,disgusted_1-28_0012,bea,disgusted,Gregson shoved back his chair and rose to his feet.,/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_1-28_0012.wav,5.390113378684807
EmoV-DB,disgusted_197-224_0207,bea,disgusted,How much was it.,/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_197-224_0207.wav,2.641995464852608
EmoV-DB,disgusted_113-140_0116,bea,disgusted,Was it the rendezvous of those who were striving to work his ruin.,/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_113-140_0116.wav,6.461224489795918
EmoV-DB,disgusted_1-28_0014,bea,disgusted,"Now you're coming down to business, Phil, he exclaimed.",/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_1-28_0014.wav,5.852970521541951
EmoV-DB,disgusted_169-196_0177,bea,disgusted,She had been thoroughly and efficiently mauled.,/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_169-196_0177.wav,5.306077097505669
EmoV-DB,disgusted_253-280_0275,bea,disgusted,There are no kiddies and half grown youths among them.,/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_253-280_0275.wav,5.529750566893424
EmoV-DB,disgusted_309-336_0314,bea,disgusted,Thus was momentum gained in the Younger World.,/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_309-336_0314.wav,4.7477097505668935
EmoV-DB,disgusted_253-280_0253,bea,disgusted,He it was that lived to found the family of the Patino.,/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_253-280_0253.wav,5.038231292517007
EmoV-DB,disgusted_225-252_0234,bea,disgusted,"Why, the average review is more nauseating than cod liver oil.",/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_225-252_0234.wav,5.535918367346939
EmoV-DB,disgusted_29-56_0029,bea,disgusted,Their forces were already moving into the north country.,/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_29-56_0029.wav,5.10843537414966
EmoV-DB,disgusted_57-84_0084,bea,disgusted,Scarcely had he uttered the name when Pierre's closing eyes shot open.,/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_57-84_0084.wav,7.532879818594104
EmoV-DB,disgusted_281-308_0297,bea,disgusted,There's a big English general right now whose name is Roberts.,/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_281-308_0297.wav,4.792471655328797
EmoV-DB,disgusted_57-84_0083,bea,disgusted,A shadow was creeping over Pierre's eyes.,/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_57-84_0083.wav,4.67968253968254
EmoV-DB,disgusted_309-336_0313,bea,disgusted,Broken-Tooth yelled with fright and pain.,/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_309-336_0313.wav,4.480226757369613
EmoV-DB,disgusted_309-336_0319,bea,disgusted,"And the Edinburgh Evening News says, with editorial gloom.",/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_309-336_0319.wav,6.525850340136055
EmoV-DB,disgusted_169-196_0195,bea,disgusted,But a strange thing happened.,/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_169-196_0195.wav,3.626938775510204
EmoV-DB,disgusted_309-336_0335,bea,disgusted,Red-Eye swung back and forth on the branch farther down.,/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_309-336_0335.wav,6.018231292517007
EmoV-DB,disgusted_169-196_0187,bea,disgusted,Ahead of them they saw a glimmer of sunshine.,/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_169-196_0187.wav,5.735646258503401
EmoV-DB,disgusted_225-252_0236,bea,disgusted,Don't you see I hate you.,/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_225-252_0236.wav,3.3793197278911564
EmoV-DB,disgusted_169-196_0191,bea,disgusted,For a time the exciting thrill of his adventure was gone.,/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_169-196_0191.wav,6.394013605442178
EmoV-DB,disgusted_85-112_0100,bea,disgusted,"You must sleep, he urged.",/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_85-112_0100.wav,4.553197278911566
EmoV-DB,disgusted_85-112_0105,bea,disgusted,"Only, it is so wonderful, so almost impossible to believe.",/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_85-112_0105.wav,7.841632653061224
EmoV-DB,disgusted_309-336_0334,bea,disgusted,He'll knock you off a few sticks in no time.,/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_309-336_0334.wav,4.8145578231292525
EmoV-DB,disgusted_113-140_0138,bea,disgusted,In the picture he saw each moment a greater resemblance to Jeanne.,/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_113-140_0138.wav,7.503310657596372
EmoV-DB,disgusted_29-56_0050,bea,disgusted,In spite of their absurdity the words affected Philip curiously.,/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_29-56_0050.wav,6.222040816326532
EmoV-DB,disgusted_57-84_0070,bea,disgusted,He would first hunt up Gregson and begin his work there.,/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_57-84_0070.wav,6.5776870748299325
EmoV-DB,disgusted_57-84_0075,bea,disgusted,"There has been a change, she interrupted him.",/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_57-84_0075.wav,4.9326530612244905
EmoV-DB,disgusted_1-28_0008,bea,disgusted,"Gad, your letter came just in time.",/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_1-28_0008.wav,5.2286621315192745
EmoV-DB,disgusted_169-196_0194,bea,disgusted,He drank of the water cautiously.,/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_169-196_0194.wav,4.519863945578231
EmoV-DB,disgusted_1-28_0019,bea,disgusted,"I followed the line of the proposed railroad, looking for chances.",/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_1-28_0019.wav,7.8610884353741515
EmoV-DB,disgusted_197-224_0199,bea,disgusted,Thus had the raw wilderness prepared him for this day.,/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_197-224_0199.wav,6.389931972789116
EmoV-DB,disgusted_1-28_0003,bea,disgusted,For the twentieth time that evening the two men shook hands.,/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_1-28_0003.wav,5.168571428571427
